Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount
Principles of Biblical Interpretation (Sacred Hermeneutics),,['Louis Berkhof'],http://books.google.com/books/content?id=XfbPznoyjHwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=XfbPznoyjHwC&q=Principles+of+Biblical+Interpretation+(Sacred+Hermeneutics)&dq=Principles+of+Biblical+Interpretation+(Sacred+Hermeneutics)&hl=&cd=1&source=gbs_api,,1962,http://books.google.nl/books?id=XfbPznoyjHwC&dq=Principles+of+Biblical+Interpretation+(Sacred+Hermeneutics)&hl=&source=gbs_api,['Bible'],2.0
Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),"Wanneer er in dit achtste deel in de Kay Scarpetta-serie tien lijken worden gevonden in Amerika en Engeland, lijkt er één dader te zijn. Maar hoe kan de moordenaar op twee plekken tegelijk zijn? Onnatuurlijke dood is het achtste boek uit de bloedstollende bestsellerserie rond patholoog-anatoom Kay Scarpetta van auteur Patricia Cornwell. Deze serie, bestaande uit meer dan 20 bloedstollende crimethrillers, betekende Patricia Cornwells doorbraak als grondlegger van de pathologisch-anatomische thriller. Negen gruwelijk verminkte lijken zijn er al gevonden: vijf in Ierland en vier in Amerika. Steeds wordt het lichaam gedumpt op een vuilnisbelt en steeds worden de ledematen afgesneden. Wie pleegt deze verschrikkelijke moorden? Wanneer een tiende lijk wordt gevonden, wordt patholoog-anatoom Kay Scarpetta opgeroepen om de zaak te onderzoeken. Alles lijkt erop dat een en dezelfde dader aan het werk is, maar is er echt sprake van dezelfde dader? Kay Scarpetta en rechercheur Pete Marino ontdekken steeds meer bewijsmateriaal dat wijst op een alomvattend complot, waardoor het gehele land in gevaar is... Patricia Cornwells werk over de vrouwelijke patholoog-anatoom Scarpetta is de bestverkochte thrillerserie ter wereld; alleen in Nederland en Vlaanderen zijn er al 1,5 miljoen exemplaren verkocht. Ook werd de serie bekroond met de Edgar Award en de Gold Dagger.",['Patricia Cornwell'],http://books.google.com/books/content?id=AgckDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=AgckDwAAQBAJ&printsec=frontcover&dq=Cruel+and+Unusual+(G+K+Hall+Large+Print+Book+Series+(Cloth))&hl=&cd=1&source=gbs_api,Luitingh Sijthoff,2017-06-01,https://play.google.com/store/books/details?id=AgckDwAAQBAJ&source=gbs_api,['Fiction'],
Gaston de Blondeville (The modern novelists),,['Ann Radcliffe'],http://books.google.com/books/content?id=7TI3AAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=7TI3AAAAYAAJ&printsec=frontcover&dq=Gaston+de+Blondeville+(The+modern+novelists)&hl=&cd=1&source=gbs_api,,1834,https://play.google.com/store/books/details?id=7TI3AAAAYAAJ&source=gbs_api,['Great Britain'],
Screenwriter: Words Become Pictures/304506,,"['Rob Dückers', 'Karin van Lieverloo', 'Museum Het Valkhof Nijmegen']",,http://books.google.nl/books?id=yGo0wwEACAAJ&dq=Screenwriter:+Words+Become+Pictures/304506&hl=&cd=1&source=gbs_api,,2005,http://books.google.nl/books?id=yGo0wwEACAAJ&dq=Screenwriter:+Words+Become+Pictures/304506&hl=&source=gbs_api,"['Illumination of books and manuscripts, Dutch']",
"The Art of Technical Documentation, Second Edition","An essential text in the field of contemporary art history, it has now been updated to represent 30 countries and over 100 new artists. The internationalism evident in this revised edition reflects the growing interest in contemporary art throughout the world from the U.S. and Europe to the Middle East, Asia, Africa, Latin America, and Australia.","['Kristine Stiles', 'Peter Selz']",http://books.google.com/books/content?id=5qklDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=5qklDQAAQBAJ&pg=PA463&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&cd=1&source=gbs_api",Univ of California Press,2012-09-25,"http://books.google.nl/books?id=5qklDQAAQBAJ&dq=The+Art+of+Technical+Documentation,+Second+Edition&hl=&source=gbs_api",['Art'],1.0
Engendering Culture: Manhood and Womanhood In New Deal Public Art and Theater,,['Barbara Melosh'],http://books.google.com/books/content?id=KmdQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=KmdQAAAAMAAJ&q=Engendering+Culture:+Manhood+and+Womanhood+In+New+Deal+Public+Art+and+Theater&dq=Engendering+Culture:+Manhood+and+Womanhood+In+New+Deal+Public+Art+and+Theater&hl=&cd=1&source=gbs_api,,1991,http://books.google.nl/books?id=KmdQAAAAMAAJ&dq=Engendering+Culture:+Manhood+and+Womanhood+In+New+Deal+Public+Art+and+Theater&hl=&source=gbs_api,"['Arts, American']",
The Rabbi's Cat,"Gaining the ability to speak after swallowing a parakeet, the rabbi's cat uses his newfound talent to tell lies, the consequences of which lead to being banned from contact with the rabbi's daughter and an education in the Torah, despite his preference for the Kabbalah and his desire for a bar mitvah. Mature.",['Joann Sfar'],http://books.google.com/books/content?id=cNQbAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=cNQbAQAAIAAJ&q=The+Rabbi%27s+Cat&dq=The+Rabbi%27s+Cat&hl=&cd=1&source=gbs_api,Pantheon,2005,http://books.google.nl/books?id=cNQbAQAAIAAJ&dq=The+Rabbi%27s+Cat&hl=&source=gbs_api,['Comics & Graphic Novels'],25.0
JFK: The Last Dissenting Witness,"Jean Hill, the ""lady in red"" in Zapruder's Kennedy assassination film, saw a gunman on the famous grassy knoll on November 22, 1963. That gunman was NOT Lee Harvey Oswald. In this highly personal narrative, Hill discloses the trauma and intimidation she experienced as well as her struggle to keep her career and her sanity after she, a single mother of two, became embroiled in the greatest murder mystery of the century.","['Sloan, Bill']",http://books.google.com/books/content?id=BPKo3kC3YtIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=BPKo3kC3YtIC&printsec=frontcover&dq=JFK:+The+Last+Dissenting+Witness&hl=&cd=1&source=gbs_api,Pelican Publishing,2010-09-23,https://play.google.com/store/books/details?id=BPKo3kC3YtIC&source=gbs_api,['History'],1.0
"FORCE, RECIPROCAL FORCE AND COMPRESSION CAUSE GRAVITY","Studying British Cultures is a volume of essays which offers a useful introduction to a contentious area. The contributors, who have been instrumental in establishing the discipline of British Cultural Studies, explore a wide range of critical debates on cultural identity and explode the myth that Britain is made up of a homogenous people. The first half of the book traces examines the theory and methodology of studying British cultures, in disciplines variously known as British Studies, Cultural Studies or British Cultural Studies.",['John Malatich'],http://books.google.com/books/content?id=nxe8wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=nxe8wAEACAAJ&dq=FORCE,+RECIPROCAL+FORCE+AND+COMPRESSION+CAUSE+GRAVITY&hl=&cd=1&source=gbs_api",,2002-08,"http://books.google.nl/books?id=nxe8wAEACAAJ&dq=FORCE,+RECIPROCAL+FORCE+AND+COMPRESSION+CAUSE+GRAVITY&hl=&source=gbs_api",['Political Science'],
Triumph in the Philippines (United States Army in World War II. The War in the Pacific),,['Robert Ross Smith'],,http://books.google.nl/books?id=s-wAoQEACAAJ&dq=Triumph+in+the+Philippines+(United+States+Army+in+World+War+II.+The+War+in+the+Pacific)&hl=&cd=1&source=gbs_api,,1984,http://books.google.nl/books?id=s-wAoQEACAAJ&dq=Triumph+in+the+Philippines+(United+States+Army+in+World+War+II.+The+War+in+the+Pacific)&hl=&source=gbs_api,,
